,Year,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck,Population
112,2040,-8035.846661170646,23058.458367683226,44.92143446001654,1.5333553173948884,7944866.886644684,-0.09071601576583123,89.68895253176666,Belarus,Europe,8.880596480793292,8858244.702802964
113,2050,-8211.378400659516,28731.384995877976,47.13742786479804,1.5063973619126134,8193408.013602637,-0.09537547132482628,95.16674459810501,Belarus,Europe,8.880596480793292,8609528.515663639
114,2022,75775.16720300913,58576.418723493814,42.91908812123802,1.8393602522439778,11459624.362166405,0.6499732570699286,98.29670651230728,Belgium,Europe,0.09170906261098123,11658197.684102058
115,2025,75182.23000824405,61423.814509480726,42.93322341302559,1.8236356141797199,11663981.093157455,0.6348699764509995,98.49550088000551,Belgium,Europe,0.09781248535780666,11842146.07666941
116,2030,82566.01030502887,68514.63685078314,43.77926628194558,1.8595177246496295,11972571.446826056,0.6809355949250349,98.73978445620057,Belgium,Europe,0.09781248535780666,12125377.336768344
117,2035,89949.7906018137,75605.45919208555,44.62530915086563,1.8953998351195391,12281161.800494641,0.7248982825078619,98.97291629937625,Belgium,Europe,0.09781248535780666,12408608.596867263
118,2040,97333.57089859853,82696.28153338842,45.471352019785684,1.9312819455894488,12589752.154163226,0.7668988262972357,99.19564299618122,Belgium,Europe,0.09781248535780666,12691839.856966197
119,2050,112101.13149216818,96877.92621599324,47.16343775762573,2.003046166529268,13206932.861500412,0.8455164794344251,99.61254831725577,Belgium,Europe,0.09781248535780666,13258302.377164051
120,2022,8237.05906891101,2096.787136806175,25.943624190553237,1.9257543379067101,190076.70027270913,1.9681058946037775,45.415611458400214,Belize,Latin America and the Caribbean,0.08369540786368368,418527.2292256057
121,2025,8302.929925803794,2011.0370981038723,25.955647155812017,1.8816817807089592,196744.83676834218,1.9163918823617163,45.410501045861984,Belize,Latin America and the Caribbean,0.13911765078813507,433258.458367683
122,2030,8756.907254740334,2369.872629843361,27.208944765045317,1.4872258862324657,213068.96042868868,1.8640603197568162,45.35544147643609,Belize,Latin America and the Caribbean,0.13911765078813507,469775.9596042875
123,2035,9210.884583676845,2728.70816158285,28.462242374278617,1.0927699917559437,229393.08408903424,1.8192778094306643,45.30832448596926,Belize,Latin America and the Caribbean,0.13911765078813507,506293.4608408902
124,2040,9664.861912613356,3087.543693322339,29.715539983511917,0.6983140972794502,245717.20774938073,1.7805207683395212,45.267547068126596,Belize,Latin America and the Caribbean,0.13911765078813507,542810.9620774947
125,2050,10572.816570486408,3805.214756801317,32.222135201978574,-0.09059769167356535,278365.4550700737,1.7167956240810862,45.20049997780836,Belize,Latin America and the Caribbean,0.13911765078813507,615845.9645507019
126,2022,335050.31323094666,-4037.3176812529564,19.118556436656945,4.59900394203396,6104612.556903839,2.6390639960764997,48.08371331924901,Benin,Africa,0.11126604104004097,12695801.001001358
127,2025,345933.5004122015,-5519.796372629702,18.81170651277823,4.626281945589454,6336368.409727931,2.64380876896988,48.42591522677394,Benin,Africa,0.1214017047266353,13084664.234130263
128,2030,375302.0152514428,-6956.4657873041,19.083140972794723,4.312431986809557,7040569.659934044,2.626403004476604,49.2706475228726,Benin,Africa,0.1214017047266353,14289582.162819445
129,2035,404670.5300906841,-8393.135201978497,19.354575432811203,3.9985820280296736,7744770.910140157,2.611704331864518,49.98399989932205,Benin,Africa,0.1214017047266353,15494500.091508687
130,2040,434039.04492992535,-9829.804616652778,19.626009892827696,3.6847320692498045,8448972.16034627,2.5991267743879285,50.59441083591822,Benin,Africa,0.1214017047266353,16699418.020197868
131,2050,492776.0746084098,-12703.143446001573,20.16887881286067,3.057032151690038,9857374.660758436,2.5787300632739862,51.584299020306325,Benin,Africa,0.1214017047266353,19109253.87757629
132,2022,-426.9835705313599,0.0,0.0,0.0,60135.35467868298,-0.6878510604102263,96.87531403702839,Bermuda,Northern America,0.029978261005049,62075.00360277295
133,2025,-500.94229183841526,0.0,0.0,0.0,61339.84089035449,-0.7914656447982631,96.91411069314772,Bermuda,Northern America,0.5524851118976669,63292.99258037923
134,2030,-643.86479802143,0.0,0.0,0.0,61058.61294311624,-1.018769780000217,96.61138466698182,Bermuda,Northern America,0.5524851118976669,63200.22547403133
135,2035,-786.7873042044521,0.0,0.0,0.0,60777.384995877976,-1.2467421831828303,96.30776863452536,Bermuda,Northern America,0.5524851118976669,63107.45836768343
136,2040,-929.7098103874669,0.0,0.0,0.0,60496.157048639725,-1.4753858057191132,96.00325866510892,Bermuda,Northern America,0.5524851118976669,63014.69126133553
137,2050,-1215.5548227535037,0.0,0.0,0.0,59933.701154163224,-1.9346986014987775,95.3915410766454,Bermuda,Northern America,0.5524851118976669,62829.15704863974
138,2022,7602.265411607921,432.8740693964064,28.185999302746495,1.183262696874408,383189.4979888201,0.9592446521051281,48.35038725790564,Bhutan,Asia,0.20687117227825483,792526.2230990008
139,2025,8588.772464962902,1428.4954657873022,28.805358615004252,1.046133553173945,397946.00741962343,1.0548434888331912,48.87435969996532,Bhutan,Asia,1.5667620303719099,814222.4468260519
140,2030,8530.581203627371,2204.332234130241,30.498268755152594,0.41194146743612237,445195.7745259702,0.9949875961162775,51.92662292557069,Bhutan,Asia,1.5667620303719099,857355.5325638913
141,2035,8472.38994229184,2980.1690024731797,32.191178895300936,-0.22225061830175719,492445.54163232073,0.9408658555030132,54.686481497239186,Bhutan,Asia,1.5667620303719099,900488.6183017306
142,2040,8414.19868095631,3756.0057708161185,33.88408903544939,-0.8564427040395799,539695.3087386675,0.8916919402061007,57.19403299312368,Bhutan,Asia,1.5667620303719099,943621.70403957
143,2050,8297.816158285244,5307.679307502054,37.26990931574619,-2.124826875515282,634194.8429513648,0.8057009268250538,61.57901826294221,Bhutan,Asia,1.5667620303719099,1029887.8755152524
144,2022,162898.91663211584,-9533.016363393515,25.59350335403724,2.5260280311126735,8559848.161310673,1.3415470562446172,70.49426319170038,Bolivia,Latin America and the Caribbean,0.04110178863740587,12142616.680783272
145,2025,166904.6826051115,-9548.384171475685,25.807996702390767,2.3807749381698216,8779399.243198693,1.337554517138743,70.35707406297325,Bolivia,Latin America and the Caribbean,0.13585891630299327,12478346.150865614
146,2030,169687.25638911803,-8985.214344600157,26.695877988458335,2.0036727122835885,9497483.498351216,1.2772405388013175,71.48781351543296,Bolivia,Latin America and the Caribbean,0.13585891630299327,13285458.082028031
147,2035,172469.83017312456,-8422.044517724658,27.58375927452596,1.6265704863973554,10215567.75350374,1.2238351841551627,72.48903318516147,Bolivia,Latin America and the Caribbean,0.13585891630299327,14092570.013190448
